id,DexNo,Pokemon,Form,Type 1,Type 2,Boxable,Bankable
1,001,BULBASAUR,,Grass,Poison,TRUE,TRUE
2,002,IVYSAUR,,Grass,Poison,TRUE,TRUE
3,003,VENUSAUR,FEMALE,Grass,Poison,TRUE,TRUE
4,003,VENUSAUR,MALE,Grass,Poison,TRUE,TRUE
5,003,VENUSAUR,MEGA,Grass,Poison,TRUE,FALSE
6,004,CHARMANDER,,Fire,,TRUE,TRUE
7,005,CHARMELEON,,Fire,,TRUE,TRUE
8,006,CHARIZARD,,Fire,Flying,TRUE,TRUE
9,006,CHARIZARD,MEGA (X),Fire,Dragon,TRUE,FALSE
10,006,CHARIZARD,MEGA (Y),Fire,Flying,TRUE,FALSE
11,006,CHARIZARD,GIGANTAMAX,Fire,Flying,TRUE,TRUE
12,007,SQUIRTLE,,Water,,TRUE,TRUE
13,008,WARTORTLE,,Water,,TRUE,TRUE
14,009,BLASTOISE,,Water,,TRUE,TRUE
15,009,BLASTOISE,MEGA,Water,,TRUE,FALSE
16,010,CATERPIE,,Bug,,TRUE,TRUE
17,011,METAPOD,,Bug,,TRUE,TRUE
18,012,BUTTERFREE,FEMALE,Bug,Flying,TRUE,TRUE
19,012,BUTTERFREE,MALE,Bug,Flying,TRUE,TRUE
20,012,BUTTERFREE,GIGANTAMAX,Bug,Flying,TRUE,TRUE
21,013,WEEDLE,,Bug,Poison,TRUE,TRUE
22,014,KAKUNA,,Bug,Poison,TRUE,TRUE
23,015,BEEDRILL,,Bug,Poison,TRUE,TRUE
24,015,BEEDRILL,MEGA,Bug,Poison,TRUE,FALSE
25,016,PIDGEY,,Normal,Flying,TRUE,TRUE
26,017,PIDGEOTTO,,Normal,Flying,TRUE,TRUE
27,018,PIDGEOT,,Normal,Flying,TRUE,TRUE
28,018,PIDGEOT,MEGA,Normal,Flying,TRUE,FALSE
29,019,RATTATA,FEMALE,Normal,,TRUE,TRUE
30,019,RATTATA,MALE,Normal,,TRUE,TRUE
31,019,RATTATA,ALOLAN,Dark,Normal,TRUE,TRUE
32,020,RATICATE,FEMALE,Normal,,TRUE,TRUE
33,020,RATICATE,MALE,Normal,,TRUE,TRUE
34,020,RATICATE,ALOLAN,Dark,Normal,TRUE,TRUE
35,021,SPEAROW,,Normal,Flying,TRUE,TRUE
36,022,FEAROW,,Normal,Flying,TRUE,TRUE
37,023,EKANS,,Poison,,TRUE,TRUE
38,024,ARBOK,,Poison,,TRUE,TRUE
39,025,PIKACHU,FEMALE,Electric,,TRUE,TRUE
40,025,PIKACHU,MALE,Electric,,TRUE,TRUE
41,025,PIKACHU,ORIGINAL CAP,Electric,,TRUE,TRUE
42,025,PIKACHU,HOENN CAP,Electric,,TRUE,TRUE
43,025,PIKACHU,SINNOH CAP,Electric,,TRUE,TRUE
44,025,PIKACHU,UNOVA CAP,Electric,,TRUE,TRUE
45,025,PIKACHU,KALOS CAP,Electric,,TRUE,TRUE
46,025,PIKACHU,ALOLA CAP,Electric,,TRUE,TRUE
47,025,PIKACHU,PARTNER CAP,Electric,,TRUE,TRUE
48,025,PIKACHU,GIGANTAMAX,Electric,,TRUE,TRUE
49,026,RAICHU,FEMALE,Electric,,TRUE,TRUE
50,026,RAICHU,MALE,Electric,,TRUE,TRUE
51,026,RAICHU,ALOLAN,Electric,Psychic,TRUE,TRUE
52,027,SANDSHREW,,Ground,,TRUE,TRUE
53,027,SANDSHREW,ALOLAN,Ice,Steel,TRUE,TRUE
54,028,SANDSLASH,,Ground,,TRUE,TRUE
55,028,SANDSLASH,ALOLAN,Ice,Steel,TRUE,TRUE
56,029,NIDORAN♀,FEMALE,Poison,,TRUE,TRUE
57,030,NIDORINA,,Poison,,TRUE,TRUE
58,031,NIDOQUEEN,,Poison,Ground,TRUE,TRUE
59,032,NIDORAN♂,,Poison,,TRUE,TRUE
60,033,NIDORINO,,Poison,,TRUE,TRUE
61,034,NIDOKING,,Poison,Ground,TRUE,TRUE
62,035,CLEFAIRY,,Fairy,,TRUE,TRUE
63,036,CLEFABLE,,Fairy,,TRUE,TRUE
64,037,VULPIX,,Fire,,TRUE,TRUE
65,037,VULPIX,ALOLAN,Ice,,TRUE,TRUE
66,038,NINETALES,,Fire,,TRUE,TRUE
67,038,NINETALES,ALOLAN,Ice,Fairy,TRUE,TRUE
68,039,JIGGLYPUFF,,Normal,Fairy,TRUE,TRUE
69,040,WIGGLYTUFF,,Normal,Fairy,TRUE,TRUE
70,041,ZUBAT,FEMALE,Poison,Flying,TRUE,TRUE
71,041,ZUBAT,MALE,Poison,Flying,TRUE,TRUE
72,042,GOLBAT,FEMALE,Poison,Flying,TRUE,TRUE
73,042,GOLBAT,MALE,Poison,Flying,TRUE,TRUE
74,043,ODDISH,,Grass,Poison,TRUE,TRUE
75,044,GLOOM,FEMALE,Grass,Poison,TRUE,TRUE
76,044,GLOOM,MALE,Grass,Poison,TRUE,TRUE
77,045,VILEPLUME,FEMALE,Grass,Poison,TRUE,TRUE
78,045,VILEPLUME,MALE,Grass,Poison,TRUE,TRUE
79,046,PARAS,,Bug,Grass,TRUE,TRUE
80,047,PARASECT,,Bug,Grass,TRUE,TRUE
81,048,VENONAT,,Bug,Poison,TRUE,TRUE
82,049,VENOMOTH,,Bug,Poison,TRUE,TRUE
83,050,DIGLETT,,Ground,,TRUE,TRUE
84,050,DIGLETT,ALOLAN,Ground,Steel,TRUE,TRUE
85,051,DUGTRIO,,Ground,,TRUE,TRUE
86,051,DUGTRIO,ALOLAN,Ground,Steel,TRUE,TRUE
87,052,MEOWTH,,Normal,,TRUE,TRUE
88,052,MEOWTH,ALOLAN,Dark,,TRUE,TRUE
89,052,MEOWTH,GALARIAN,Steel,,TRUE,TRUE
90,052,MEOWTH,GIGANTAMAX,Steel,,TRUE,TRUE
91,053,PERSIAN,,Normal,,TRUE,TRUE
92,053,PERSIAN,ALOLAN,Dark,,TRUE,TRUE
93,054,PSYDUCK,,Water,,TRUE,TRUE
94,055,GOLDUCK,,Water,,TRUE,TRUE
95,056,MANKEY,,Fighting,,TRUE,TRUE
96,057,PRIMEAPE,,Fighting,,TRUE,TRUE
97,058,GROWLITHE,,Fire,,TRUE,TRUE
98,059,ARCANINE,,Fire,,TRUE,TRUE
99,060,POLIWAG,,Water,,TRUE,TRUE
100,061,POLIWHIRL,,Water,,TRUE,TRUE
101,062,POLIWRATH,,Water,Fighting,TRUE,TRUE
102,063,ABRA,,Psychic,,TRUE,TRUE
103,064,KADABRA,FEMALE,Psychic,,TRUE,TRUE
104,064,KADABRA,MALE,Psychic,,TRUE,TRUE
105,065,ALAKAZAM,FEMALE,Psychic,,TRUE,TRUE
106,065,ALAKAZAM,MALE,Psychic,,TRUE,TRUE
