GalarNo,DexNo,Pokemon,Type 1,Type 2
001,079,SLOWPOKE,Psychic,
001,079,SLOWPOKE,Water,Psychic
002,080,SLOWBRO,Poison,Psychic
002,080,SLOWBRO,Water,Psychic
003,199,SLOWKING,Water,Psychic
004,427,BUNEARY,Normal,
005,428,LOPUNNY,Normal,
006,440,HAPPINY,Normal,
007,113,CHANSEY,Normal,
008,242,BLISSEY,Normal,
009,819,SKWOVET,Normal,
010,820,GREEDENT,Normal,
011,174,IGGLYBUFF,Normal,Fairy
012,039,JIGGLYPUFF,Normal,Fairy
013,040,WIGGLYTUFF,Normal,Fairy
014,824,BLIPBUG,Bug,
015,825,DOTTLER,Bug,Psychic
016,826,ORBEETLE,Bug,Psychic
017,753,FOMANTIS,Grass,
018,754,LURANTIS,Grass,
019,840,APPLIN,Grass,Dragon
020,841,FLAPPLE,Grass,Dragon
021,842,APPLETUN,Grass,Dragon
022,661,FLETCHLING,Normal,Flying
023,662,FLETCHINDER,Fire,Flying
024,663,TALONFLAME,Fire,Flying
025,403,SHINX,Electric,
026,404,LUXIO,Electric,
027,405,LUXRAY,Electric,
028,707,KLEFKI,Steel,Fairy
029,624,PAWNIARD,Dark,Steel
030,625,BISHARP,Dark,Steel
031,063,ABRA,Psychic,
032,064,KADABRA,Psychic,
033,065,ALAKAZAM,Psychic,
034,280,RALTS,Psychic,Fairy
035,281,KIRLIA,Psychic,Fairy
036,282,GARDEVOIR,Psychic,Fairy
037,475,GALLADE,Psychic,Fighting
038,098,KRABBY,Water,
039,099,KINGLER,Water,
040,072,TENTACOOL,Water,Poison
041,073,TENTACRUEL,Water,Poison
042,129,MAGIKARP,Water,
043,130,GYARADOS,Water,Flying
044,223,REMORAID,Water,
045,224,OCTILLERY,Water,
046,458,MANTYKE,Water,Flying
047,226,MANTINE,Water,Flying
048,278,WINGULL,Water,Flying
049,279,PELIPPER,Water,Flying
050,451,SKORUPI,Poison,Bug
051,452,DRAPION,Poison,Dark
052,206,DUNSPARCE,Normal,
053,626,BOUFFALANT,Normal,
054,108,LICKITUNG,Normal,
055,463,LICKILICKY,Normal,
056,833,CHEWTLE,Water,
057,834,DREDNAW,Water,Rock
058,194,WOOPER,Water,Ground
059,195,QUAGSIRE,Water,Ground
060,704,GOOMY,Dragon,
061,705,SLIGGOO,Dragon,
062,706,GOODRA,Dragon,
063,621,DRUDDIGON,Dragon,
064,616,SHELMET,Bug,
065,617,ACCELGOR,Bug,
066,588,KARRABLAST,Bug,
067,589,ESCAVALIER,Bug,Steel
068,001,BULBASAUR,Grass,Poison
069,002,IVYSAUR,Grass,Poison
070,003,VENUSAUR,Grass,Poison
071,007,SQUIRTLE,Water,
072,008,WARTORTLE,Water,
073,009,BLASTOISE,Water,
074,543,VENIPEDE,Bug,Poison
075,544,WHIRLIPEDE,Bug,Poison
076,545,SCOLIPEDE,Bug,Poison
077,590,FOONGUS,Grass,Poison
078,591,AMOONGUSS,Grass,Poison
079,764,COMFEY,Fairy,
080,114,TANGELA,Grass,
081,465,TANGROWTH,Grass,
082,453,CROAGUNK,Poison,Fighting
083,454,TOXICROAK,Poison,Fighting
084,172,PICHU,Electric,
085,025,PIKACHU,Electric,
086,026,RAICHU,Electric,
086,026,RAICHU,Electric,Psychic
087,570,ZORUA,Dark,
088,571,ZOROARK,Dark,
089,765,ORANGURU,Normal,Psychic
090,766,PASSIMIAN,Fighting,
091,341,CORPHISH,Water,
092,342,CRAWDAUNT,Water,Dark
093,845,CRAMORANT,Flying,Water
094,118,GOLDEEN,Water,
095,119,SEAKING,Water,
096,846,ARROKUDA,Water,
097,847,BARRASKEWDA,Water,
098,120,STARYU,Water,
099,121,STARMIE,Water,Psychic
100,891,KUBFU,Fighting,
101,892,URSHIFU,Fighting,Dark
101,892,URSHIFU,Fighting,Water
102,587,EMOLGA,Electric,Flying
103,702,DEDENNE,Electric,Fairy
104,877,MORPEKO,Electric,Dark
105,081,MAGNEMITE,Electric,Steel
106,082,MAGNETON,Electric,Steel
107,462,MAGNEZONE,Electric,Steel
108,686,INKAY,Dark,Psychic
109,687,MALAMAR,Dark,Psychic
110,746,WISHIWASHI,Water,
111,318,CARVANHA,Water,Dark
112,319,SHARPEDO,Water,Dark
113,506,LILLIPUP,Normal,
114,507,HERDIER,Normal,
115,508,STOUTLAND,Normal,
116,128,TAUROS,Normal,
117,241,MILTANK,Normal,
118,123,SCYTHER,Bug,Flying
119,212,SCIZOR,Bug,Steel
120,127,PINSIR,Bug,
121,214,HERACROSS,Bug,Fighting
122,557,DWEBBLE,Bug,Rock
123,558,CRUSTLE,Bug,Rock
124,767,WIMPOD,Bug,Water
125,768,GOLISOPOD,Bug,Water
126,871,PINCURCHIN,Electric,
127,747,MAREANIE,Poison,Water
128,748,TOXAPEX,Poison,Water
129,852,CLOBBOPUS,Fighting,
130,853,GRAPPLOCT,Fighting,
131,090,SHELLDER,Water,
132,091,CLOYSTER,Water,Ice
133,769,SANDYGAST,Ghost,Ground
134,770,PALOSSAND,Ghost,Ground
135,425,DRIFLOON,Ghost,Flying
136,426,DRIFBLIM,Ghost,Flying
137,339,BARBOACH,Water,Ground
138,340,WHISCASH,Water,Ground
139,298,AZURILL,Normal,Fairy
140,183,MARILL,Water,Fairy
141,184,AZUMARILL,Water,Fairy
142,060,POLIWAG,Water,
143,061,POLIWHIRL,Water,
144,062,POLIWRATH,Water,Fighting
145,186,POLITOED,Water,
146,054,PSYDUCK,Water,
147,055,GOLDUCK,Water,
148,293,WHISMUR,Normal,
149,294,LOUDRED,Normal,
150,295,EXPLOUD,Normal,
151,527,WOOBAT,Psychic,Flying
152,528,SWOOBAT,Psychic,Flying
153,227,SKARMORY,Steel,Flying
154,524,ROGGENROLA,Rock,
155,525,BOLDORE,Rock,
156,526,GIGALITH,Rock,
157,744,ROCKRUFF,Rock,
158,745,LYCANROC,Rock,
159,757,SALANDIT,Poison,Fire
160,758,SALAZZLE,Poison,Fire
161,559,SCRAGGY,Dark,Fighting
162,560,SCRAFTY,Dark,Fighting
163,619,MIENFOO,Fighting,
164,620,MIENSHAO,Fighting,
165,782,JANGMO-O,Dragon,
166,783,HAKAMO-O,Dragon,Fighting
