GalarNo,DexNo,Pokemon,Type 1,Type 2
001,810,GROOKEY,Grass,
002,811,THWACKEY,Grass,
003,812,RILLABOOM,Grass,
004,813,SCORBUNNY,Fire,
005,814,RABOOT,Fire,
006,815,CINDERACE,Fire,
007,816,SOBBLE,Water,
008,817,DRIZZILE,Water,
009,818,INTELEON,Water,
010,824,BLIPBUG,Bug,
011,825,DOTTLER,Bug,Psychic
012,826,ORBEETLE,Bug,Psychic
013,010,CATERPIE,Bug,
014,011,METAPOD,Bug,
015,012,BUTTERFREE,Bug,Flying
016,736,GRUBBIN,Bug,
017,737,CHARJABUG,Bug,Electric
018,738,VIKAVOLT,Bug,Electric
019,163,HOOTHOOT,Normal,Flying
020,164,NOCTOWL,Normal,Flying
021,821,ROOKIDEE,Flying,
022,822,CORVISQUIRE,Flying,
023,823,CORVIKNIGHT,Flying,Steel
024,819,SKWOVET,Normal,
025,820,GREEDENT,Normal,
026,519,PIDOVE,Normal,Flying
027,520,TRANQUILL,Normal,Flying
028,521,UNFEZANT,Normal,Flying
029,827,NICKIT,Dark,
030,828,THIEVUL,Dark,
031,263,ZIGZAGOON,Dark,Normal
031,263,ZIGZAGOON,Normal,
032,264,LINOONE,Dark,Normal
032,264,LINOONE,Normal,
033,862,OBSTAGOON,Dark,Normal
034,831,WOOLOO,Normal,
035,832,DUBWOOL,Normal,
036,270,LOTAD,Water,Grass
037,271,LOMBRE,Water,Grass
038,272,LUDICOLO,Water,Grass
039,273,SEEDOT,Grass,
040,274,NUZLEAF,Grass,Dark
041,275,SHIFTRY,Grass,Dark
042,833,CHEWTLE,Water,
043,834,DREDNAW,Water,Rock
044,509,PURRLOIN,Dark,
045,510,LIEPARD,Dark,
046,835,YAMPER,Electric,
047,836,BOLTUND,Electric,
048,659,BUNNELBY,Normal,
049,660,DIGGERSBY,Normal,Ground
050,572,MINCCINO,Normal,
051,573,CINCCINO,Normal,
052,761,BOUNSWEET,Grass,
053,762,STEENEE,Grass,
054,763,TSAREENA,Grass,
055,043,ODDISH,Grass,Poison
056,044,GLOOM,Grass,Poison
057,045,VILEPLUME,Grass,Poison
058,182,BELLOSSOM,Grass,
059,406,BUDEW,Grass,Poison
060,315,ROSELIA,Grass,Poison
061,407,ROSERADE,Grass,Poison
062,278,WINGULL,Water,Flying
063,279,PELIPPER,Water,Flying
064,595,JOLTIK,Bug,Electric
065,596,GALVANTULA,Bug,Electric
066,309,ELECTRIKE,Electric,
067,310,MANECTRIC,Electric,
068,037,VULPIX,Fire,
068,037,VULPIX,Ice,
069,038,NINETALES,Fire,
069,038,NINETALES,Ice,Fairy
070,058,GROWLITHE,Fire,
071,059,ARCANINE,Fire,
072,582,VANILLITE,Ice,
073,583,VANILLISH,Ice,
074,584,VANILLUXE,Ice,
075,220,SWINUB,Ice,Ground
076,221,PILOSWINE,Ice,Ground
077,473,MAMOSWINE,Ice,Ground
078,225,DELIBIRD,Ice,Flying
079,361,SNORUNT,Ice,
080,362,GLALIE,Ice,
081,478,FROSLASS,Ice,Ghost
082,343,BALTOY,Ground,Psychic
083,344,CLAYDOL,Ground,Psychic
084,749,MUDBRAY,Ground,
085,750,MUDSDALE,Ground,
086,557,DWEBBLE,Bug,Rock
087,558,CRUSTLE,Bug,Rock
088,622,GOLETT,Ground,Ghost
089,623,GOLURK,Ground,Ghost
090,517,MUNNA,Psychic,
091,518,MUSHARNA,Psychic,
092,177,NATU,Psychic,Flying
093,178,XATU,Psychic,Flying
094,759,STUFFUL,Normal,Fighting
095,760,BEWEAR,Normal,Fighting
096,459,SNOVER,Grass,Ice
097,460,ABOMASNOW,Grass,Ice
098,098,KRABBY,Water,
099,099,KINGLER,Water,
100,194,WOOPER,Water,Ground
101,195,QUAGSIRE,Water,Ground
102,341,CORPHISH,Water,
103,342,CRAWDAUNT,Water,Dark
104,290,NINCADA,Bug,Ground
105,291,NINJASK,Bug,Flying
106,292,SHEDINJA,Bug,Ghost
107,236,TYROGUE,Fighting,
108,106,HITMONLEE,Fighting,
109,107,HITMONCHAN,Fighting,
110,237,HITMONTOP,Fighting,
111,674,PANCHAM,Fighting,
112,675,PANGORO,Fighting,Dark
113,599,KLINK,Steel,
114,600,KLANG,Steel,
115,601,KLINKLANG,Steel,
116,415,COMBEE,Bug,Flying
117,416,VESPIQUEN,Bug,Flying
118,436,BRONZOR,Steel,Psychic
119,437,BRONZONG,Steel,Psychic
120,280,RALTS,Psychic,Fairy
121,281,KIRLIA,Psychic,Fairy
122,282,GARDEVOIR,Psychic,Fairy
123,475,GALLADE,Psychic,Fighting
124,425,DRIFLOON,Ghost,Flying
125,426,DRIFBLIM,Ghost,Flying
126,829,GOSSIFLEUR,Grass,
127,830,ELDEGOSS,Grass,
128,420,CHERUBI,Grass,
129,421,CHERRIM,Grass,
130,434,STUNKY,Poison,Dark
131,435,SKUNTANK,Poison,Dark
132,535,TYMPOLE,Water,
133,536,PALPITOAD,Water,Ground
134,537,SEISMITOAD,Water,Ground
135,355,DUSKULL,Ghost,
136,356,DUSCLOPS,Ghost,
137,477,DUSKNOIR,Ghost,
138,066,MACHOP,Fighting,
139,067,MACHOKE,Fighting,
140,068,MACHAMP,Fighting,
141,092,GASTLY,Ghost,Poison
